Audi ,Q7 ,2011,1999000,81000,245,2.967,DIESEL,,at,ALLROAD,5,LEFT,beaten,3,WA1LMAFEXBD010549 ,The black
Audi ,Q5 ,2009,990000,114000,211,1.984,GASOLINE,,at,ALLROAD,5,LEFT,beaten,5,WAUZZZ8R39A041327 ,Grey
Audi ,Q7 ,2015,2250000,91850,245,2.967,DIESEL,,at,ALLROAD,5,LEFT,beaten,2,,The black
Audi ,“¿…Œ“¿ ,1997,350000,1000,78,1600.0,DIESEL,,,,,,,,,White
Audi ,A6 AVANT ,2006,445000,198000,177,2.4,GASOLINE,,cvt,WAGON,5,LEFT,beaten,4,,Grey
Audi ,Q7 ,2008,1150000,205000,325,4.143,DIESEL,,at,ALLROAD,5,,,,W¿UZZZ4L58D069371 ,The black
Audi ,Q7 ,2015,2800000,120000,249,3.0,DIESEL,,at,ALLROAD,5,LEFT,beaten,1,WAUZZZ4M8GD014579 ,Brown
Audi ,A6 ,2009,610000,185530,170,1.984,GASOLINE,,mt,SEDAN,4,LEFT,beaten,1,WAUZZZ4F89Z016050 ,The black
Audi ,A6 ,2012,900000,190000,180,2.0,GASOLINE,,cvt,SEDAN,5,,beaten,4,,
Audi ,A1 ,2013,805000,86000,122,1.4,GASOLINE,,amt,HATCHBACK,5,LEFT,beaten,2,WAUZZZ8X6EB001729 ,Orange
Audi ,A6 ,2014,1075000,101000,170,1.984,GASOLINE,,cvt,SEDAN,4,,beaten,4,,
Audi ,A6 allroad ,2001,285000,178000,254,2.7,GASOLINE,,at,WAGON,5,LEFT,beaten,2,WAUYP64B21N035427 ,Grey
Audi ,¿4 ,1996,145000,350000,160,1.6,GASOLINE,,mt,SEDAN,4,LEFT,beaten,2,WAUZZZ8DZTA176181 ,The black
Audi ,A6 ,2005,345000,255000,350,4.163,GASOLINE,,at,SEDAN,4,,beaten,5,,
Audi ,80 ,1988,50000,331131,90,1.781,GASOLINE,,mt,SEDAN,5,,beaten,3,wauzzz89zja200764 ,Blue
Audi ,A8 ,2008,570000,124000,,,,,cvt,SEDAN,5,,,4,,
Audi ,A6 ,1998,250000,435050,165,2.393,GASOLINE,,at,SEDAN,4,,beaten,,,
Audi ,100 ,1991,120000,300000,136,2.309,GASOLINE,,at,SEDAN,4,,beaten,,,
Audi ,A4 ,1998,215000,260000,110,1.9,DIESEL,,mt,SEDAN,,,,,,
Audi ,,,3000,,,,,,,,,,,,,
Audi ,,,1000,,,,,,,,,,,,,
Audi ,A5 ,2013,900000,130000,,,,,at,COUPE,2,,,2,,
Audi ,Q3 ,2014,1150000,76000,150,1.4,GASOLINE,,at,HATCHBACK,5,,,1,,
Audi ,80 ,1991,100000,3540000,75,1.781,GASOLINE,,mt,SEDAN,4,,beaten,5,,
Audi ,80 ,1985,40000,334000,75,1.6,GASOLINE,,mt,SEDAN,4,,beaten,4,,
Audi ,,,100,,,,,,,,,,,,,
Audi ,80 ,1991,80000,354000,90,1.781,GASOLINE,,mt,SEDAN,4,,beaten,5,,
Audi ,A6 ,2001,385000,300000,170,2.4,GASOLINE,,cvt,SEDAN,4,LEFT,beaten,2,WAUZZZ4BZ1N150936 ,Blue
